address,suburb,state,postcode,latitude,longitude,asset_type,operator,sale_price_aud,sale_date,nla_sqm,site_area_sqm,price_per_sqm,yield,purchaser,vendor,comments,source_report,source_page
14 Thomas Street,Yarraville,VIC,,-37.8181,144.8839,Self-Storage,Storage King Yarraville,14900000,2020-07-01,4957,2977,3006,0.0668,Abacus Property Group,,"The property is located within the established suburb of Yarraville, approximately 10 kilometres by road west of the Melbourne CBD. It is located in a small pocket of industrial properties close to the West Gate Freeway. Improvements upon the site comprise a four-level,...",StoreLocal_Campbellfield_Report.pdf,59
166-170 Newlands Road,Coburg North,VIC,,-37.7261,144.9656,Commercial/Industrial,,7510000,2025-10-01,2951,5652,2545,0.0545,,,"The IN1Z site is located within the established, mixed use suburb of Coburg North, approximately 12 kilometres north of the Melbourne CBD. The site is irregular in shape with a single road frontage and dual crossovers. The site is improved by a concrete and metal warehouse...",StoreLocal_Campbellfield_Report.pdf,60
2-12 Jessica Way,Truganina,VIC,,-37.8528,144.7483,Commercial/Industrial,,15050000,2025-08-01,4508,11608,3339,0.04849999999999999,,,"The IN3Z site is located within the established, mixed-use suburb of Truganina, approximately 24 kilometres west of the Melbourne CBD. The site is regular in shape with a dual road frontage and five crossovers. The site is improved by two concrete tilt panel warehouse buildings...",StoreLocal_Campbellfield_Report.pdf,61
62 Northgate Drive,Thomastown,VIC,,-37.685,145.0197,Commercial/Industrial,,13250000,2025-05-01,4970,7600,2666,0.06,,,"The IN1Z site is located within the established, mixed-use suburb of Thomastown, approximately 29 kilometres north of the Melbourne CBD. The site is rectangular in shape with a single road frontage and two crossovers. The site is improved by a concrete tilt panel warehouse...",StoreLocal_Campbellfield_Report.pdf,62
187 Calarco Drive,Derrimut,VIC,,-37.8008,144.7669,Commercial/Industrial,,7050000,2025-05-01,2432,3880,2899,0.0505,,,"The IN1Z site is located within the established, mixed use suburb of Derrimut, approximately 20 kilometres west of the Melbourne CBD. The site is regular in shape with a single road frontage and dual crossovers. The site is improved by a concrete warehouse building with...",StoreLocal_Campbellfield_Report.pdf,63
137-139 McEwan Road,Heidelberg West,VIC,,-37.7522,145.0508,Commercial/Industrial,,6850000,2025-02-01,2813,3686,2435,0.0509,,,"The IN1Z site is located within the established, mixed-use suburb of Heidelberg West, approximately 18 kilometres north-east of the Melbourne CBD. The site is regular in shape with a single road frontage and dual crossovers. The site is improved by a concrete tilt panel...",StoreLocal_Campbellfield_Report.pdf,64
53 Harrick Road,Keilor Park,VIC,,-37.7328,144.8519,Commercial/Industrial,,17250000,2025-02-01,5159,16810,3344,0.0546,,,"The IN1Z site is located within the established, mixed-use suburb of Keilor Park, approximately 18 kilometres north of the Melbourne CBD. The site is irregular in shape with a single road frontage and three crossovers. The site is improved by a concrete tilt panel warehouse...",StoreLocal_Campbellfield_Report.pdf,65
14 International Square,Tullamarine,VIC,,-37.7028,144.8833,Commercial/Industrial,,3900000,2024-12-01,1748,2319,2231,0.0538,,,"The C2Z site is located within the established, mixed-use suburb of Tullamarine, approximately 19 kilometres north of the Melbourne CBD. The site is regular in shape with three road frontages and a single crossover. The site is improved by a concrete tilt panel warehouse...",StoreLocal_Campbellfield_Report.pdf,65
68 Link Drive,Campbellfield,VIC,,-37.6628,144.9656,Commercial/Industrial,,4800000,2024-09-01,1400,2500,3429,0.0512,,,"The IN1Z site is located within the established, mixed use suburb of Campbellfield, approximately 28 kilometres north of the Melbourne CBD. The site is regular in shape with a single road frontage and dual crossovers. The site is improved by a concrete tilt panel warehouse...",StoreLocal_Campbellfield_Report.pdf,66
18-22 Jessica Road,Campbellfield,VIC,,-37.6628,144.9656,Commercial/Industrial,,8000000,2024-08-01,2719,3915,2942,0.058,,,"The IN1Z site is located within the established, mixed-use suburb of Campbellfield, approximately 27 kilometres north of the Melbourne CBD. The site is regular in shape with dual road frontage and five crossovers. The site is improved by three concrete warehouse buildings with...",StoreLocal_Campbellfield_Report.pdf,67
26-28 and 29-31 Daintree Drive,Redland Bay,QLD,,-27.6169,153.3003,Self-Storage,Swift Storage Redland Bay,14750000,2025-03-01,3238,7103,4555,0.0596,Barings,,"The property is located within the suburb of Redland Bay, approximately 43 kilometres by road south-east of Brisbane and approximately 13.5 kilometres by road south of the Redland Hospital. The asset has exposure to a local road servicing the surrounding industrial precinct,...",StoreLocal_Ellenbrook_Report.pdf,53
13-15 Brant Road,Kelmscott,WA,,-32.1194,116.0147,Self-Storage,National Storage Kelmscott,5000000,2021-10-01,1982,4295,2195,0.065,National Storage,,"The property is located within the established mixed-use suburb of Kelmscott, approximately 32.5 kilometres by road south-east of the Perth CBD and approximately 3.3 kilometres by road north of Armadale. The location affords good levels of exposure to low volumes of local and...",StoreLocal_Ellenbrook_Report.pdf,57
1 Canham Way,Greenwood,WA,,-31.8264,115.7978,Development Site,BP Greenwood,5150000,2025-07-01,,1957,2632,0.0677,,,"The property is located within the established suburb of Canham, approximately 1.5 kilometres by road south-west of Kingsway City Shopping Centre, and approximately 19 kilometres by road north of Perth. The property is situated to the southern alignment of Canham Way and eastern...",StoreLocal_Ellenbrook_Report.pdf,58
3 Goodwood Crescent,Ellenbrook,WA,,-31.7803,116.0019,Development Site,Shell Reddy Express,6325104,2025-05-01,,2870,2204,0.0695,,,"The property is located within the emerging suburb of Ellenbrook, approximately 29 kilometres by road north-east of Perth and approximately 26 kilometres by road east of Joondalup. The suburb is characterised by low-rise, freestanding, residential development and local...",StoreLocal_Ellenbrook_Report.pdf,58
97 Forrest Avenue,South Bunbury,WA,,-33.3658,115.6383,Development Site,,2400000,2025-01-01,,5583,430,0.069,,,"The property is located within the established suburb of South Bunbury, approximately 175 kilometres by road north-east of the Perth CBD and approximately 1.2 kilometres by road north-west of the Bunbury Bus Terminal. The property is situated to the northern alignment of a local...",StoreLocal_Ellenbrook_Report.pdf,59
101-111 Ewing Street,Welshpool,WA,,-31.99,115.9344,Development Site,,10600000,2025-01-01,,20465,518,0.06280000000000001,,,"The property is located within the established suburb of Welshpool, approximately 10 kilometres by road south-east of the Perth CBD and approximately 3.1 kilometres by road north-east of the Bently Plaza shopping centre. The property is situated to the eastern alignment of a...",StoreLocal_Ellenbrook_Report.pdf,59
163-169 Great Eastern Highway,Bellevue,WA,,-31.8861,116.0219,Development Site,Midland Toyota,8625000,2024-10-01,,4778,1805,0.0682,,,"The property is located within the established suburb of Bellevue, approximately 20 kilometres by road north-east of the Perth CBD and approximately 2.1 kilometres by road east of Centrepoint Midland shopping mall. The property is situated to the south-western alignment of Great...",StoreLocal_Ellenbrook_Report.pdf,60
"7-Eleven, 51 Tiffany Centre",Dalyellup,WA,,-33.3883,115.5836,Development Site,,6940000,2024-10-01,,3704,1864,0.0663,,,"The property is located within the established suburb of Dalyellup, approximately 180 kilometres by road south of the Perth CBD and adjacent the Dalyellup Shopping Centre. The property is situated to the south-eastern alignment of a round-a-bout controlled intersection along...",StoreLocal_Ellenbrook_Report.pdf,60
234 Morrison Road,Midvale,WA,,-31.8872,116.0506,Development Site,,2150000,2024-06-01,,2464,873,0.067,,,"The property is located within the established suburb of Midvale, approximately 22 kilometres by road north-east of the Perth CBD. The property is situated within an established mixed use locality benefiting from patronage visiting the immediate locality. Improvements comprise a...",StoreLocal_Ellenbrook_Report.pdf,61
182 Main Street,Kawungan,QLD,,-25.2833,152.8667,Self-Storage,Swift Storage Hervey Bay,8450000,2025-03-01,2550,5298,3314,0.0629,Barings,,"The property is located within the residential suburb of Kawungan, within the regional city of Hervey Bay, approximately 290 kilometres by road north of Brisbane and approximately nine kilometres by road south-east of the Hervey Bay Airport. The property comprises a...",StoreLocal_Gympie_Report.pdf,50
7 Main Drive,Warana,QLD,,-26.7167,153.1167,Self-Storage,Kawana Self Storage,6425000,2022-08-01,2826,5795,2274,0.0635,FKS Investments Consolidated Pty Ltd,,"Located within the established mixed-use suburb of Warana, approximately 20 kilometres by road south of the Sunshine Coast Airport and approximately 95 kilometres by road north of the Brisbane CBD. Uses proximate to the property comprise a range of light industrial and...",StoreLocal_Gympie_Report.pdf,53
12 Tuffin Street,Southern River,WA,,-32.1039,115.9892,Development Site,,2450000,2025-05-01,,4687,523,,,,A rectangular shaped inside allotment with single-street frontage. It provides a generally level building platform. It is located within a growing industrial minor precinct directly south of the subject in Southern River and is approximately 28 kilometres by road south-east of...,StoreLocal_Southern_River_Report.pdf,52
15 Lodge Road,Southern River,WA,,-32.1039,115.9892,Development Site,,1265000,2025-02-01,,2417,523,,,,A rectangular shaped inside allotment with single-street frontage. It provides a generally level building platform. It is located within a growing industrial minor precinct directly south of the subject in Southern River and is approximately 28 kilometres by road south-east of...,StoreLocal_Southern_River_Report.pdf,52
21 Bessemer Road,Forrestdale,WA,,-32.1508,116.0183,Development Site,,3039740,2024-11-01,,7414,410,,,,A rectangular shaped inside allotment with single-street frontage. It provides a generally level building platform. It is located within a growing industrial location and is approximately 33 kilometres by road south-east of Perth.,StoreLocal_Southern_River_Report.pdf,53
110 Allen Road,Forrestdale,WA,,-32.1508,116.0183,Development Site,,2650000,2024-07-01,,6018,440,,,,A slightly irregular shaped allotment with single-street frontage albeit it has some potential rear exposure to the Tonkin Highway. It provides a generally level building platform. It is located within a growing industrial/trade retail location and is approximately 32 kilometres...,StoreLocal_Southern_River_Report.pdf,53
2 Nobel Way,Forrestdale,WA,,-32.1508,116.0183,Development Site,,3260000,2023-11-01,,8153,400,,,,A slightly irregular shaped allotment with dual-street frontage. It is zoned General Industry and provides a generally level building platform. It is located within a growing industrial/trade retail location and is approximately 33 kilometres by road south-east of Perth.,StoreLocal_Southern_River_Report.pdf,54
25 Hensbrook Loop,Forrestdale,WA,,-32.1508,116.0183,Development Site,,2175000,2023-11-01,,5701,382,,,,An irregular shaped inside allotment with single-street frontage. It provides a generally level building platform. It is located within a growing industrial location and is approximately 33 kilometres by road south-east of Perth.,StoreLocal_Southern_River_Report.pdf,54
27-29 Cerina Circuit,Jimboomba,QLD,,-27.8369,153.0319,Self-Storage,Swift Storage Jimboomba,7900000,2025-03-01,2147,3315,3679,0.0642,Barings,,The property is located within the established mixed-use suburb of Jimboomba approximately 50 kilometres by road south of Brisbane and approximately 20 kilometres by road north of Logan Central. The property comprises a single and two-level ranch/warehouse-style self-storage...,StoreLocal_Tweed_Heads_Report.pdf,53
44 and 68 Industrial Drive,North Boambee Valley,NSW,,-30.3508,153.0683,Self-Storage,BCW Storage,4100000,2024-09-01,2102,4016,1950,0.06509999999999999,National Storage,,"The property is located within the regional suburb of North Boambee Valley in the city of Coffs Harbour, approximately 525 kilometres by road north-east of Sydney, 4.5 kilometres by road south-west of the Coffs Harbour commercial centre, and 390 kilometres by road south of...",StoreLocal_Tweed_Heads_Report.pdf,55
